sample_id,audio_path,reference_text,reference_latex,source
250,/data1/eunju/datasets/mathspeech/dataset/250.mp3,log a times e to the x log a,"$\log a\,\mathrm{e}^{x\log a}$",https://www.youtube.com/watch?v=9v25gg2qJYE
521,/data1/eunju/datasets/mathspeech/dataset/521.mp3,one half sine of two x squared,$\frac{1}{2}\sin^{2}(2x)$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
366,/data1/eunju/datasets/mathspeech/dataset/366.mp3,x0 is equal to 2,$x_0 = 2$,https://www.youtube.com/watch?v=sRIDVAcoG5A
50,/data1/eunju/datasets/mathspeech/dataset/50.mp3,four thirds cubed plus two thirds cubed is equal to three times two thirds times four thirds,$(4/3)^{3}+(2/3)^{3}=3\times(2/3)\times(4/3)$,https://www.youtube.com/watch?v=fK6cu99OSEU
669,/data1/eunju/datasets/mathspeech/dataset/669.mp3,sine five x divided by sine two x,$\sin 5x/\sin 2x$,https://www.youtube.com/watch?v=PNTnmH6jsRI
440,/data1/eunju/datasets/mathspeech/dataset/440.mp3,e to the b minus e to the zero,$e^{b}-e^{0}$,https://www.youtube.com/watch?v=1RLctDS2hUQ
94,/data1/eunju/datasets/mathspeech/dataset/94.mp3,delta f is x plus delta x to the n minus x to the n divided by delta x,$\displaystyle \Delta f = \frac{(x + \Delta x)^{n} - x^{n}}{\Delta x}$,https://www.youtube.com/watch?v=7K1sB05pE0A
169,/data1/eunju/datasets/mathspeech/dataset/169.mp3,d by dt of r cross v is the zero vector,$\displaystyle\frac{d}{dt}(\mathbf{r}\times\mathbf{v})=\mathbf{0}$,https://www.youtube.com/watch?v=0D4BbCa4gHo
98,/data1/eunju/datasets/mathspeech/dataset/98.mp3,x plus 3 over x squared plus 1,$\frac{x + 3}{x^{2} + 1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI
1074,/data1/eunju/datasets/mathspeech/dataset/1074.mp3,dy dt equals a times y,$\frac{dy}{dt}=ay$,https://www.youtube.com/watch?v=EQJBp6Ym-6A
583,/data1/eunju/datasets/mathspeech/dataset/583.mp3,u prime is one over x,$u^{\prime}= 1/x$,https://www.youtube.com/watch?v=aeXp1zC6Hls
821,/data1/eunju/datasets/mathspeech/dataset/821.mp3,4x plus 2y minus 2z,$4x+2y-2z$,https://www.youtube.com/watch?v=2XraaWefBd8
325,/data1/eunju/datasets/mathspeech/dataset/325.mp3,y is equal to v divided by x squared,$y=\frac{v}{x^{2}}$,https://www.youtube.com/watch?v=YN7k_bXXggY
912,/data1/eunju/datasets/mathspeech/dataset/912.mp3,dx becomes x prime of t dt,$\displaystyle d\mathbf{x}=\mathbf{x}^{\prime}(t)dt$,https://www.youtube.com/watch?v=o7UCBjGsRTE
493,/data1/eunju/datasets/mathspeech/dataset/493.mp3,a hundred pi y minus 30 pi y squared,$100\pi y-30\pi y^{2}$,https://www.youtube.com/watch?v=R9a_NHXrBcg
92,/data1/eunju/datasets/mathspeech/dataset/92.mp3,minus 1 over 3 plus delta x times 3,$-\frac{1}{3} + \Delta x \times 3$,https://www.youtube.com/watch?v=7K1sB05pE0A
702,/data1/eunju/datasets/mathspeech/dataset/702.mp3,n plus 1 times c n plus 1 divided by n plus 1,$(n+1)c_{n+1}/(n+1)$,https://www.youtube.com/watch?v=wOHrNt9ScYs
374,/data1/eunju/datasets/mathspeech/dataset/374.mp3,x minus x1 in absolute value,$|x-x_1|$ ,https://www.youtube.com/watch?v=4Q37iOyBq44
993,/data1/eunju/datasets/mathspeech/dataset/993.mp3,six t to the five,$\displaystyle 6t^{5}$,https://www.youtube.com/watch?v=seO7-TwXH_I
619,/data1/eunju/datasets/mathspeech/dataset/619.mp3, t equals pi over 2,${t}=\frac{\pi}{2}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4
271,/data1/eunju/datasets/mathspeech/dataset/271.mp3,one over one plus y squared times y prime,$\frac{1}{1+y^{2}}y^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A
991,/data1/eunju/datasets/mathspeech/dataset/991.mp3,dx is 3t squared dt,$\displaystyle dx={3t}^{2}dt$,https://www.youtube.com/watch?v=seO7-TwXH_I
430,/data1/eunju/datasets/mathspeech/dataset/430.mp3,b minus a over n,$\frac{b-a}{n}$,https://www.youtube.com/watch?v=hjZhPczMkL4
686,/data1/eunju/datasets/mathspeech/dataset/686.mp3,1 over the square root of x cubed,$\frac{1}{\sqrt{x^{3}}}$,https://www.youtube.com/watch?v=KhwQKE_tld0
626,/data1/eunju/datasets/mathspeech/dataset/626.mp3,x is 2 sine t,$x=2\sin t$,https://www.youtube.com/watch?v=XRkgBWbWvg4
355,/data1/eunju/datasets/mathspeech/dataset/355.mp3,the square root of x squared plus y squared,$\sqrt{x^{2}+y^{2}}$,https://www.youtube.com/watch?v=sRIDVAcoG5A
140,/data1/eunju/datasets/mathspeech/dataset/140.mp3,r squared sine squared theta,$r^{2}\sin^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4
406,/data1/eunju/datasets/mathspeech/dataset/406.mp3,square root of 1 plus x squared plus c,$\sqrt{1+x^{2}}+c$,https://www.youtube.com/watch?v=-MI0b4h3rS0
824,/data1/eunju/datasets/mathspeech/dataset/824.mp3,two times y minus one minus two times z minus one equals zero,$2(y-1)-2(z-1)=0$,https://www.youtube.com/watch?v=2XraaWefBd8
667,/data1/eunju/datasets/mathspeech/dataset/667.mp3,f of x divided by g of x,$\frac{f(x)}{g(x)}$,https://www.youtube.com/watch?v=PNTnmH6jsRI
620,/data1/eunju/datasets/mathspeech/dataset/620.mp3,t equals pi,$\mathcal{t}=\pi$,https://www.youtube.com/watch?v=TpWQlKHPyJ4
554,/data1/eunju/datasets/mathspeech/dataset/554.mp3,du is 2 secant theta tangent theta d theta.,$du=2\sec \theta \tan \theta d\theta $,https://www.youtube.com/watch?v=CXKoCMVqM9s
509,/data1/eunju/datasets/mathspeech/dataset/509.mp3,sine squared of theta is 1 minus cosine of 2 theta divided by 2,$\sin^{2}(\theta)=(1-\cos(2\theta))\over 2$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
89,/data1/eunju/datasets/mathspeech/dataset/89.mp3,1 half times x minus 1,$\frac{1}{2}(x - 1)$,https://www.youtube.com/watch?v=8gGbViZjoRw
398,/data1/eunju/datasets/mathspeech/dataset/398.mp3,integral of secant squared x dx,$\int \sec^{2}xdx$,https://www.youtube.com/watch?v=-MI0b4h3rS0
254,/data1/eunju/datasets/mathspeech/dataset/254.mp3,u prime is equal to u times log a,$u^{\prime}=u\cdot\log a$,https://www.youtube.com/watch?v=9v25gg2qJYE
974,/data1/eunju/datasets/mathspeech/dataset/974.mp3,"f of x, y plus delta x times f sub x ","$f(x,y)+\Delta x\cdot f_{x}$",https://www.youtube.com/watch?v=WfEQabCGAqI
380,/data1/eunju/datasets/mathspeech/dataset/380.mp3,f of b is equal to f of a plus f prime of c times b minus a,$f(b)=f(a)+f^{\prime}(c)(b - a)$,https://www.youtube.com/watch?v=4Q37iOyBq44
1070,/data1/eunju/datasets/mathspeech/dataset/1070.mp3,two plus i divided by one minus 3i,$\frac{2+i}{1-3i}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A
442,/data1/eunju/datasets/mathspeech/dataset/442.mp3,e to the b minus 1 is greater than or equal to b plus b squared over 2,$e^{b}-1\geq b+\frac{b^{2}}{2}$,https://www.youtube.com/watch?v=1RLctDS2hUQ
518,/data1/eunju/datasets/mathspeech/dataset/518.mp3,sine squared times cosine squared,$\sin^{2}\cos^{2}$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
692,/data1/eunju/datasets/mathspeech/dataset/692.mp3, y equals 1 over x minus 3 squared,$y=\frac{1}{(x-3)^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA
582,/data1/eunju/datasets/mathspeech/dataset/582.mp3,u is a log x,$u=\log x$,https://www.youtube.com/watch?v=aeXp1zC6Hls
975,/data1/eunju/datasets/mathspeech/dataset/975.mp3,f sub y times delta y,$\displaystyle f_y \times\Delta y$,https://www.youtube.com/watch?v=WfEQabCGAqI
384,/data1/eunju/datasets/mathspeech/dataset/384.mp3,e to the x is bigger than 1 plus x plus x squared over 2,$e^{x}>(1+x+\frac{x^{2}}{2})$,https://www.youtube.com/watch?v=4Q37iOyBq44
116,/data1/eunju/datasets/mathspeech/dataset/116.mp3,u of x plus delta x times v of x plus delta x,$u(x+\Delta x)v(x+\Delta x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk
794,/data1/eunju/datasets/mathspeech/dataset/794.mp3,f sub xy times change in x times change in y plus one half of fyy times y minus y0 squared,$\displaystyle f_{xy}\cdot\Delta x\cdot\Delta y+\frac{1}{2}f_{yy}(y-y_{0})^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA
1004,/data1/eunju/datasets/mathspeech/dataset/1004.mp3, 6 times 1 plus 4 plus 9 plus 16 plus 25 plus 36,$6\times(1+4+9+16+25+36)$,https://www.youtube.com/watch?v=oI9fMUqgfxY
641,/data1/eunju/datasets/mathspeech/dataset/641.mp3,pi a squared,$(\pi a^{2})$,https://www.youtube.com/watch?v=BGE3wb7H2PA
805,/data1/eunju/datasets/mathspeech/dataset/805.mp3,df is f sub x dx plus f sub y dy plus f sub z dz,$\displaystyle df = f_{x}dx+f_{y}dy+f_{z}dz$,https://www.youtube.com/watch?v=7eZVshlT33Q
166,/data1/eunju/datasets/mathspeech/dataset/166.mp3,square root of one minus two cosine t plus cosine squared t plus sine squared t,$\displaystyle\sqrt{1-2\cos t+\cos ^{2}t+\sin ^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo
350,/data1/eunju/datasets/mathspeech/dataset/350.mp3,h squared times h,$\mathbb{h}^{2}\times\mathbb{h}$,https://www.youtube.com/watch?v=sRIDVAcoG5A
150,/data1/eunju/datasets/mathspeech/dataset/150.mp3,y of t minus two equals t,$y(t)-2=t$,https://www.youtube.com/watch?v=57jzPlxf4fk
1047,/data1/eunju/datasets/mathspeech/dataset/1047.mp3,log of minus c2 over c1,$\log{((-c_{2})/{c_{1}})}$,https://www.youtube.com/watch?v=2-5oq-igwtU
574,/data1/eunju/datasets/mathspeech/dataset/574.mp3,half the argtangent,$\displaystyle \frac{1}{2}\arctan $,https://www.youtube.com/watch?v=HgEqXhsIq_g
795,/data1/eunju/datasets/mathspeech/dataset/795.mp3, f of x y equals x plus y plus 1 over xy,"$f(x,y)=x+y+\frac{1}{xy}$",https://www.youtube.com/watch?v=3_goGnJm5sA
126,/data1/eunju/datasets/mathspeech/dataset/126.mp3,length of A is square root of length B squared plus one,$\mathrm{|A|} = \sqrt{\mathrm{|B|^{2} + 1}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY
1066,/data1/eunju/datasets/mathspeech/dataset/1066.mp3, c1 equals minus 2,$\mathrm{c_1}=-2$,https://www.youtube.com/watch?v=LjqUV6vqwkg
718,/data1/eunju/datasets/mathspeech/dataset/718.mp3,x squared minus x to the fourth over three factorial plus x to the sixth over five factorial,$x^{2}-\frac{x^{4}}{3!}+\frac{x^{6}}{5!}$,https://www.youtube.com/watch?v=--lPz7VFnKI
386,/data1/eunju/datasets/mathspeech/dataset/386.mp3,x cubed over 3 times 2,$\frac{x^{3}}{3\times 2}$,https://www.youtube.com/watch?v=4Q37iOyBq44
306,/data1/eunju/datasets/mathspeech/dataset/306.mp3,1 plus 2 over x,$1+\frac{2}{x}$,https://www.youtube.com/watch?v=twzGBqPeW0M
1076,/data1/eunju/datasets/mathspeech/dataset/1076.mp3,sine of theta one plus theta two,$\sin(\theta_{1}+\theta_{2})$,https://www.youtube.com/watch?v=EQJBp6Ym-6A
340,/data1/eunju/datasets/mathspeech/dataset/340.mp3,2x plus 4y,$\displaystyle 2x+4y$,https://www.youtube.com/watch?v=YN7k_bXXggY
417,/data1/eunju/datasets/mathspeech/dataset/417.mp3,b over n times 2b over n squared,$(b/n)\times(2b/n^{2})$,https://www.youtube.com/watch?v=hjZhPczMkL4
827,/data1/eunju/datasets/mathspeech/dataset/827.mp3,PV equals nRT,$\mathrm{PV}=\mathrm{nRT}$,https://www.youtube.com/watch?v=15HVevXRsBA
394,/data1/eunju/datasets/mathspeech/dataset/394.mp3,f of x is x to the 1 3rd,$f(x)=x^{1/3}$,https://www.youtube.com/watch?v=-MI0b4h3rS0
854,/data1/eunju/datasets/mathspeech/dataset/854.mp3,one half of ab times sine theta times tangent theta plus cosine theta d theta.,"$\displaystyle \frac{1}{2}ab\sin \theta\tan \theta+\cos \theta\, d\theta$",https://www.youtube.com/watch?v=23xbkrpQuAo
477,/data1/eunju/datasets/mathspeech/dataset/477.mp3,a squared minus x squared minus two ax ,$a^{2}-x^{2}-2ax$,https://www.youtube.com/watch?v=ShGBRUx2ub8
840,/data1/eunju/datasets/mathspeech/dataset/840.mp3, x squared equals three,$\displaystyle x^{2}=3$,https://www.youtube.com/watch?v=15HVevXRsBA
256,/data1/eunju/datasets/mathspeech/dataset/256.mp3,d by dx x to the x,$(\frac{d}{dx}(x^{x}))$,https://www.youtube.com/watch?v=9v25gg2qJYE
85,/data1/eunju/datasets/mathspeech/dataset/85.mp3,w of x plus one,$\displaystyle w(x) + 1$,https://www.youtube.com/watch?v=8gGbViZjoRw
659,/data1/eunju/datasets/mathspeech/dataset/659.mp3,A2x plus B2 x squared plus 2 squared plus c over x plus d,$\frac{A2x + B2}{(x^{2}+2)^{2}}+\frac{C}{x}+D$,https://www.youtube.com/watch?v=BGE3wb7H2PA
1005,/data1/eunju/datasets/mathspeech/dataset/1005.mp3,r over t times t,$\frac{r}{t}t$,https://www.youtube.com/watch?v=oI9fMUqgfxY
167,/data1/eunju/datasets/mathspeech/dataset/167.mp3,cosine squared plus sine squared,$\cos ^{2}+\sin ^{2}$,https://www.youtube.com/watch?v=0D4BbCa4gHo
807,/data1/eunju/datasets/mathspeech/dataset/807.mp3,f sub z z prime of t dt,$f_{z}z^{\prime}(t)dt$,https://www.youtube.com/watch?v=7eZVshlT33Q
87,/data1/eunju/datasets/mathspeech/dataset/87.mp3,1 over w of x plus 2 times e to the w of x,$\frac{1}{w(x)} + 2e^{w(x)}$,https://www.youtube.com/watch?v=8gGbViZjoRw
273,/data1/eunju/datasets/mathspeech/dataset/273.mp3, x zero plus f prime of x zero x minus x zero,$\displaystyle x_{0}+f^{\prime}(x_{0})(x - x_{0})$,https://www.youtube.com/watch?v=BSAA0akmPEU
602,/data1/eunju/datasets/mathspeech/dataset/602.mp3,square root of 1 plus m squared,$\sqrt{1+m^{2}}$,https://www.youtube.com/watch?v=TpWQlKHPyJ4
997,/data1/eunju/datasets/mathspeech/dataset/997.mp3, f sub x is two xy,$f_{x}=2xy$,https://www.youtube.com/watch?v=seO7-TwXH_I
100,/data1/eunju/datasets/mathspeech/dataset/100.mp3,1 minus cosine x over x,$\frac{1 - \cos x}{x}$,https://www.youtube.com/watch?v=ryLdyDrBfvI
815,/data1/eunju/datasets/mathspeech/dataset/815.mp3,x sub u times du plus x sub v times dv,$x_{u}du+x_{v}dv$,https://www.youtube.com/watch?v=7eZVshlT33Q
232,/data1/eunju/datasets/mathspeech/dataset/232.mp3,minus y squared divided by 4y cubed plus 2xy,$-\frac{y^{2}}{4y^{3}+2xy}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ
680,/data1/eunju/datasets/mathspeech/dataset/680.mp3,one over x to the power p,$\frac{1}{x^{p}}$,https://www.youtube.com/watch?v=KhwQKE_tld0
838,/data1/eunju/datasets/mathspeech/dataset/838.mp3,lambda squared equals four,$\lambda^{2}=4$,https://www.youtube.com/watch?v=15HVevXRsBA
700,/data1/eunju/datasets/mathspeech/dataset/700.mp3,sum 1 over n squared plus 1 square root,$\sum\frac{1}{\sqrt{n^{2} + 1}}$ ,https://www.youtube.com/watch?v=MK_0QHbUnIA
545,/data1/eunju/datasets/mathspeech/dataset/545.mp3,the integral of dx over x squared times the square root of 1 plus x squared,$\int\frac{dx}{x^{2}\sqrt{1+x^{2}}}$,https://www.youtube.com/watch?v=CXKoCMVqM9s
501,/data1/eunju/datasets/mathspeech/dataset/501.mp3,a half to the fourth power minus a half to the ninth power,$(1/2)^{4}-(1/2)^{9}$,https://www.youtube.com/watch?v=jBkXbAgMj6s
226,/data1/eunju/datasets/mathspeech/dataset/226.mp3,a minus one,$\mathsf{a}-1$,https://www.youtube.com/watch?v=5q_3FDOkVRQ
566,/data1/eunju/datasets/mathspeech/dataset/566.mp3,x minus one times x minus two times x plus five,$(x-1)(x-2)(x+5)$,https://www.youtube.com/watch?v=HgEqXhsIq_g
268,/data1/eunju/datasets/mathspeech/dataset/268.mp3,e to the x tan inverse x,$\mathrm{e}^{x}{\tan^{-1}x}$,https://www.youtube.com/watch?v=eHJuAByQf5A
976,/data1/eunju/datasets/mathspeech/dataset/976.mp3,z equals x squared plus y squared ,$z=x^{2}+y^{2}$,https://www.youtube.com/watch?v=WfEQabCGAqI
671,/data1/eunju/datasets/mathspeech/dataset/671.mp3,cosine x minus 1 divided by x squared,$(\cos x-1)/x^{2}$,https://www.youtube.com/watch?v=PNTnmH6jsRI
60,/data1/eunju/datasets/mathspeech/dataset/60.mp3,pi times x to the pi minus 1,$\pi x^{\pi - 1}$,https://www.youtube.com/watch?v=wezQdmwolMU
733,/data1/eunju/datasets/mathspeech/dataset/733.mp3,minus one plus two t plus twice two plus t plus four times two minus three t,$-1+2t+2(2+t)+4(2-3t)$,https://www.youtube.com/watch?v=57jzPlxf4fk
513,/data1/eunju/datasets/mathspeech/dataset/513.mp3,minus u cubed over three,$-u^{3}\over 3$,https://www.youtube.com/watch?v=Bv9kVDcj7yo
500,/data1/eunju/datasets/mathspeech/dataset/500.mp3,1 minus e to the minus a squared,$1-e^{-a^{2}}$,https://www.youtube.com/watch?v=jBkXbAgMj6s
705,/data1/eunju/datasets/mathspeech/dataset/705.mp3, minus r less than x less than r,$-r<x<r$,https://www.youtube.com/watch?v=wOHrNt9ScYs
1075,/data1/eunju/datasets/mathspeech/dataset/1075.mp3,e to the i theta two,$e^{i\theta_{2}}$,https://www.youtube.com/watch?v=EQJBp6Ym-6A
985,/data1/eunju/datasets/mathspeech/dataset/985.mp3,four thirds pi a cubed,$\frac{4}{3}\pi a^{3}$,https://www.youtube.com/watch?v=WfEQabCGAqI
819,/data1/eunju/datasets/mathspeech/dataset/819.mp3,a one x plus a two y plus a three z equals c,$a_1x+a_2y+a_3z=c$,https://www.youtube.com/watch?v=2XraaWefBd8
44,/data1/eunju/datasets/mathspeech/dataset/44.mp3,cosine of theta to the fourth,$\cos(\theta^{4})$,https://www.youtube.com/watch?v=aeQA5d3gZTI 
42,/data1/eunju/datasets/mathspeech/dataset/42.mp3,dy dx times dx dw times dw d theta,$ \frac{dy}{dx} \times \frac{dx}{dw} \times \frac{dw}{d\theta} $,https://www.youtube.com/watch?v=aeQA5d3gZTI 
797,/data1/eunju/datasets/mathspeech/dataset/797.mp3, two over xy cubed,$\frac{2}{xy^{3}}$,https://www.youtube.com/watch?v=3_goGnJm5sA
763,/data1/eunju/datasets/mathspeech/dataset/763.mp3,f prime at x0 times delta x,$f^{\prime}(x_{0})\times\Delta x$,https://www.youtube.com/watch?v=dK3NEf13nPc
588,/data1/eunju/datasets/mathspeech/dataset/588.mp3,log x to the zero power dx,$\log x^{0}dx$,https://www.youtube.com/watch?v=aeXp1zC6Hls
744,/data1/eunju/datasets/mathspeech/dataset/744.mp3,F equals ma,$\mathcal{F}=\mathcal{ma}$,https://www.youtube.com/watch?v=0D4BbCa4gHo
139,/data1/eunju/datasets/mathspeech/dataset/139.mp3,r squared cosine squared theta,$r^{2}\cos^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4
99,/data1/eunju/datasets/mathspeech/dataset/99.mp3,4 plus 3 divided by 4 squared plus 1,$\frac{4+3}{4^{2}+1}$,https://www.youtube.com/watch?v=ryLdyDrBfvI
928,/data1/eunju/datasets/mathspeech/dataset/928.mp3,integral from b to a of M of x and f2 of x dx,$\displaystyle \int_{b}^{a}M(x)(f_{2}(x))dx$,https://www.youtube.com/watch?v=tYdoS0tkAHA
112,/data1/eunju/datasets/mathspeech/dataset/112.mp3,x to the n times sine of x,$x^{n}\sin(x)$,https://www.youtube.com/watch?v=4sTKcvYMNxk
381,/data1/eunju/datasets/mathspeech/dataset/381.mp3,e to the x minus 1 plus x,$e^{x}-1+x$,https://www.youtube.com/watch?v=4Q37iOyBq44
665,/data1/eunju/datasets/mathspeech/dataset/665.mp3, x to the 10th minus 1,$x^{10}-1$,https://www.youtube.com/watch?v=PNTnmH6jsRI
266,/data1/eunju/datasets/mathspeech/dataset/266.mp3,minus v to the minus 2 times v prime,$-v^{-2}v^{\prime}$,https://www.youtube.com/watch?v=eHJuAByQf5A
724,/data1/eunju/datasets/mathspeech/dataset/724.mp3,two over the square root of pi ,$2/\sqrt{\pi}$,https://www.youtube.com/watch?v=--lPz7VFnKI
919,/data1/eunju/datasets/mathspeech/dataset/919.mp3,y cubed plus 4x1 squared y ,$y^{3}+4x_1^{2}y$,https://www.youtube.com/watch?v=z5TPjZrsp2k
438,/data1/eunju/datasets/mathspeech/dataset/438.mp3,minus cosine 2pi,$-\cos2\pi$,https://www.youtube.com/watch?v=1RLctDS2hUQ
16,/data1/eunju/datasets/mathspeech/dataset/16.mp3,two pi r e to the minus r squared dr,$2\pi r e^{-r^2} dr$ ,https://www.youtube.com/watch?v=zUEuKrxgHws 
65,/data1/eunju/datasets/mathspeech/dataset/65.mp3,x squared times natural log of e,$x^{2}\cdot\ln e$,https://www.youtube.com/watch?v=wezQdmwolMU
285,/data1/eunju/datasets/mathspeech/dataset/285.mp3,y equals one minus a half x squared,$y=1-\frac{1}{2}x^{2}$,https://www.youtube.com/watch?v=BSAA0akmPEU
